vio,blu,grn,yel,org,red,UV,Ambient Light,Humidity,Temprature Air,Water Content,
Temprature Soil,EC,PH,Nitrogen Content,Phosphorus Content,Potassium Content,Tem
prature Soil 2,Soil Capacitance,Gas Ohms
8800.861328125,7882.2763671875,5288.68896484375,4900.89501953125,3288.927978515
625,3320.669921875,8,2608,12.561416625976562,17.568588256835938,14.22,21.72,143
,7.8,80,12,56,18.75043136862,1016,12535991.793939594
